Category: All categories

Month,gay community: (Worldwide),lgbt community: (Worldwide),"""lgbtq community"": (Worldwide)","""lgbt community"": (Worldwide)",lgbtq community: (Worldwide)
2020-08,17,14,10,12,12
2020-09,16,16,13,13,16
2020-10,17,15,13,13,15
2020-11,17,16,15,14,17
2020-12,13,12,9,11,10
2021-01,14,11,9,9,10
2021-02,15,13,11,10,13
2021-03,14,12,11,10,13
2021-04,14,12,12,10,14
2021-05,16,13,12,10,14
2021-06,18,18,21,15,25
2021-07,18,11,11,9,13
2021-08,15,11,10,9,12
2021-09,15,11,11,8,13
2021-10,15,12,14,10,16
2021-11,14,11,11,9,13
2021-12,13,10,10,8,11
2022-01,14,10,8,8,11
2022-02,14,10,10,8,12
2022-03,14,11,11,9,13
2022-04,15,11,11,9,14
2022-05,20,12,12,10,14
2022-06,23,16,19,13,23
